Summary,Issue Type,Priority,Epic Name,Description
"Fix Day date model consistency","Story","High","Core Stability","Привести Day.date к единому формату ISO (YYYY-MM-DD) во всех типах и логике. Acceptance: Day.date везде строка ISO; selectedDate корректно вычисляется; нет TS ошибок по типам."
"Task validation rules","Story","High","Core Stability","Валидация задач при создании/редактировании. Acceptance: пустое имя запрещено; конец > старт; ошибка отображается пользователю."
"Overlap detection","Story","High","Core Stability","Проверка пересечений задач в пределах дня. Acceptance: при конфликте показывается предупреждение; пользователь может отменить/подтвердить добавление."
"Calendar sync deduplication","Story","High","Core Stability","Защита от дублей при импорте событий календаря. Acceptance: повторный импорт не создает дублей; учитываются calendarEventId и task.id."
"Unified calendar sync flow","Story","High","Core Stability","Убрать повторяющиеся таймеры/эффекты синхронизации, централизовать. Acceptance: один основной поток синхронизации; нет лишних setInterval."
"Empty states","Story","Medium","UX & Product","Пустые состояния для дней без задач. Acceptance: пользователь видит понятный текст/CTA."
"Onboarding hints","Story","Medium","UX & Product","Базовые подсказки при первом запуске. Acceptance: показ один раз; можно закрыть."
"Task list enhancements","Story","Medium","UX & Product","Показ длительности/категории в списке задач. Acceptance: длительность корректна; UI не ломается на длинных названиях."
"Task reminders","Story","Medium","Notifications","Напоминания за 5/10/15 минут до задачи. Acceptance: настраиваемые интервалы; уведомление приходит в фоне."
"Export schedule to JSON","Story","Medium","Backup & Export","Экспорт расписания в JSON. Acceptance: файл генерируется; данные валидны."
"Import schedule from JSON","Story","Medium","Backup & Export","Импорт JSON с проверкой формата. Acceptance: некорректные данные отвергаются; ошибка объясняется пользователю."
"Render optimization","Task","Low","Performance","Memoization для тяжелых компонентов. Acceptance: профайлер показывает снижение перерендеров."
"Unit tests for utils","Task","Medium","QA & Testing","Покрыть timeUtils, scheduleParser, storageUtils. Acceptance: минимум 70% покрытия для utils."
"iOS smoke tests","Task","High","QA & Testing","Минимальные тесты на симуляторе и устройстве. Acceptance: пройден сценарий добавить/редактировать/удалить задачу."
"App metadata + privacy","Story","High","App Store Readiness","Политика конфиденциальности и метаданные. Acceptance: готова ссылка на privacy policy; описание и keywords заполнены."
"Store assets","Task","High","App Store Readiness","Иконки и скриншоты под требования Apple. Acceptance: скриншоты всех нужных размеров."
"EAS build + TestFlight","Story","High","App Store Readiness","Сборка через EAS и загрузка в TestFlight. Acceptance: build успешно загружен; приложение запускается без ошибок."
